0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,#votom…,
,,,,,,,,,,#voto…,
,,,,,,,,,,#womenleaders,
,,,,,,,,,,#sapoavotos,
,,,,,,,,,,#SDV,
,,,,,,,,,,#sdv,
,,,,,,,,,,#senado,
,,,,,,,,,,#SergioMoro,
,,,,,,,,,,#sic,
,,,,,,,,,,#sicnoticias,
,,,,,,,,,,#SMcanalQ,
,,,,,,,,,,#Sociedade_Manchete,
,,,,,,,,,,#sol,
,,,,,,,,,,#sondagens:,
,,,,,,,,,,#StateOfTheUnion,
,,,,,,,,,,#taiwan,
,,,,,,,,,,#teamfollowback,
,,,,,,,,,,#team…,
,,,,,,,,,,#teamtulicreme,
,,,,,,,,,,#televisão,
,,,,,,,,,,#temposdeantena?,
,,,,,,,,,,#TimBeta,
,,,,,,,,,,#TIMBETA,
,,,,,,,,,,#Portugal…,
,,,,,,,,,,#Portu…,
,,,,,,,,,,#PR15,
,,,,,,,,,,#pre…,
,,,,,,,,,,#Presidência,
,,,,,,,,,,#Presidênciais2016,
,,,,,,,,,,#Presidenciais,
,,,,,,,,,,#presidenciais,
,,,,,,,,,,#Presidenciais:,
,,,,,,,,,,#presidenciais?,
,,,,,,,,,,#presidenciais2016,
,,,,,,,,,,#presidenciais2016…,
,,,,,,,,,,#presidenciais201…,
,,,,,,,,,,#presidenciais20…,
,,,,,,,,,,#presidenciais2…,
,,,,,,,,,,#presidenciais…,
,,,,,,,,,,#presidencia…,
,,,,,,,,,,#presiden…,
,,,,,,,,,,#preside…,
,,,,,,,,,,#presid…,
,,,,,,,,,,#pr…,
,,,,,,,,,,#PT,
,,,,,,,,,,#questõesfilosóficas,
,,,,,,,,,,#REDE,
,,,,,,,,,,#RihannaNavy,
,,,,,,,,,,#RT,
,,,,,,,,,,#RTP,
,,,,,,,,,,#RTRevistaISTOE:,
,,,,,,,,,,#RuiCostaPinto,
,,,,,,,,,,#SóQueNão,
,,,,,,,,,,#imagensdecampanha,
,,,,,,,,,,#IMPRENSA,
,,,,,,,,,,#inquérito,
,,,,,,,,,,#IPAMMKTDIGITAL,
,,,,,,,,,,#jn,
,,,,,,,,,,#Jonas🔫,
,,,,,,,,,,#Juntosporportugal...,
,,,,,,,,,,#LavaJato,
,,,,,,,,,,#Lavajato,
,,,,,,,,,,#lgbt,
,,,,,,,,,,#LGBT,
,,,,,,,,,,#liberal,
,,,,,,,,,,#madeira,
,,,,,,,,,,#MaisActualBlog,
,,,,,,,,,,#mangá,
,,,,,,,,,,#PINN,
,,,,,,,,,,#Política,
,,,,,,,,,,#política,
,,,,,,,,,,#Politica,
,,,,,,,,,,#Port…,
,,,,,,,,,,#PORTUGAL,
,,,,,,,,,,#Portugal:,
,,,,,,,,,,#mundo,
,,,,,,,,,,#mundovirtual:,
,,,,,,,,,,#municípios,
,,,,,,,,,,#NãoÉMau,
,,,,,,,,,,#Nem_mais,
,,,,,,,,,,#ninguemmerece,
,,,,,,,,,,#notícia,
,,,,,,,,,,#notícias,
,,,,,,,,,,#noticiasdacova,
,,,,,,,,,,#Novas,
,,,,,,,,,,#observador,
,,,,,,,,,,#…,
,,,,,,,,,,#OperacaoBetaLab,
,,,,,,,,,,#operacaobetalab,
,,,,,,,,,,#orafodasse,
,,,,,,,,,,#oteupaísnastuasmãos,
,,,,,,,,,,#PátioDasCantigas,
,,,,,,,,,,#P73,
,,,,,,,,,,#P76,
,,,,,,,,,,#país,
,,,,,,,,,,#Iberoaméricaemdia,
,,,,,,,,,,#somostodosafáveisprovedoresdocidadão,
,,,,,,,,,,#presidenciais2016”,
,,,,,,,,,,#FB,
,,,,,,,,,,#Peseiro,
,,,,,,,,,,#FCPorto?,
,,,,,,,,,,#eleiçõespresidenciais2016,
,,,,,,,,,,#debatepresidenciais,
,,,,,,,,,,#2775_Carcavelos,
,,,,,,,,,,#lisboa,
,,,,,,,,,,#azorestoday,
,,,,,,,,,,#Illustration,
,,,,,,,,,,#presidênciais,
,,,,,,,,,,#FrodoDc,
,,,,,,,,,,#frododcyoutube,
,,,,,,,,,,#reidainovaçao,
,,,,,,,,,,#azeitePr,
,,,,,,,,,,#SouMaisRemo,
,,,,,,,,,,#Espinho,
,,,,,,,,,,#Anta,
,,,,,,,,,,#ASMSFAA,
,,,,,,,,,,#radiorenascenca,
,,,,,,,,,,#EducaçãoPaixão,
,,,,,,,,,,#LemadeCampanha,
,,,,,,,,,,#PerguntaSingela:,
,,,,,,,,,,#PerguntaSingela,
,,,,,,,,,,#Mundo,
,,,,,,,,,,#movimentonegro,
,,,,,,,,,,#seppir,
,,,,,,,,,,#elesnemdormem,
,,,,,,,,,,#ualmedia,
,,,,,,,,,,#Noticias,
,,,,,,,,,,#Africa,
,,,,,,,,,,#Sporting,
,,,,,,,,,,#hard_club,
,,,,,,,,,,#hardclub...,
,,,,,,,,,,#presidenciais2016,
,,,,,,,,,,#presidenciais,
,,,,,,,,,,#fucklogic.,
,,,,,,,,,,#intervalo,
,,,,,,,,,,#tiremmedestefilme,
,,,,,,,,,,#debate#presidenciais2016,
,,,,,,,,,,#braga,
,,,,,,,,,,#imagensdecampanha,
,,,,,,,,,,#país,
,,,,,,,,,,#Brava,
,,,,,,,,,,#tvi,
,,,,,,,,,,#quasequetevegraça,
,,,,,,,,,,#presidencias2016,
,,,,,,,,,,#debateMal,
,,,,,,,,,,#malandro,
,,,,,,,,,,#lindo,
,,,,,,,,,,#debatertp1,
,,,,,,,,,,#circo,
,,,,,,,,,,#carregabenfica,
,,,,,,,,,,#rtp3,
,,,,,,,,,,#pres…,
,,,,,,,,,,#debatertp,
,,,,,,,,,,#lance,
,,,,,,,,,,#tamosfodidos,
,,,,,,,,,,#estivesses,
,,,,,,,,,,#RealityShow,
,,,,,,,,,,#rtp#portugal,
,,,,,,,,,,#Carnaval2016,
,,,,,,,,,,#rtp1,
,,,,,,,,,,#2016odebate,
,,,,,,,,,,#Pr…,
,,,,,,,,,,#RTP3,
,,,,,,,,,,#ObrigadoRTP1,
,,,,,,,,,,#Terapia,
,,,,,,,,,,#presi…,
,,,,,,,,,,#presidenci…,
,,,,,,,,,,#Presidenciais2016,
,,,,,,,,,,#QuimBarreirosparapresidente,
,,,,,,,,,,#publicofoto,
,,,,,,,,,,#rtp,
,,,,,,,,,,#presidenciais,
,,,,,,,,,,#preçocerto,
,,,,,,,,,,#jesusnocomando,
,,,,,,,,,,#RTP1,
,,,,,,,,,,#debateRTP,
,,,,,,,,,,#priceless,
,,,,,,,,,,#CCR,
,,,,,,,,,,#mudaodiscoohze,
,,,,,,,,,,#debate,
,,,,,,,,,,#povo,
,,,,,,,,,,#odebate,
,,,,,,,,,,#cenas,
,,,,,,,,,,#chupacamões,
,,,,,,,,,,#Lisbon,
,,,,,,,,,,#epic,
,,,,,,,,,,#votoma…,
,,,,,,,,,,#bem#Presidenciais2016,
